segment_id_beg,segment_id_end,longitude,latitude,h_te_best_fit,h_te_uncertainty,h_canopy,h_canopy_uncertainty,track_id,beam,file_name
1899040,1899044,48.88784408569336,-19.47673988342285,-2.4477687,0.15725164,22.012733,0.67391473,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899055,1899059,48.8875617980957,-19.474040985107422,-1.5179627,0.09368563,20.31517,1.0959085,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899065,1899069,48.88737106323242,-19.472240447998047,-1.1737361,0.028642397,17.574986,0.33091497,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899080,1899084,48.887088775634766,-19.469541549682617,-1.2352035,0.01109178,17.41275,0.13407604,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899085,1899089,48.88699722290039,-19.46864128112793,-1.2214254,0.023220455,17.382698,0.25201803,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899090,1899094,48.88690185546875,-19.467741012573242,-0.9723673,0.024638563,,,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899095,1899099,48.88680648803711,-19.466840744018555,0.04386437,0.07685931,22.731949,1.1336193,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899100,1899104,48.88671112060547,-19.465940475463867,2.801561,,14.935192,,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899115,1899119,48.88642883300781,-19.463241577148438,10.724328,,17.808231,,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899125,1899129,48.8862419128418,-19.461441040039062,11.852406,2.1396317,11.236381,1.8309339,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899155,1899159,48.885677337646484,-19.45604133605957,5.0966816,0.21879992,25.978779,1.4515376,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899160,1899164,48.885581970214844,-19.455141067504883,-5.127253,,26.38982,,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899165,1899169,48.8854866027832,-19.454240798950195,9.879291,0.71532595,24.748726,1.6557652,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899170,1899174,48.88539123535156,-19.45334243774414,34.89051,1.0307965,15.345451,1.5686243,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899175,1899179,48.88529586791992,-19.452442169189453,37.152115,4.2909184,9.597214,4.7719145,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899180,1899184,48.88520431518555,-19.451541900634766,17.783083,5.302089,23.110123,6.5722256,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899185,1899189,48.88511276245117,-19.450641632080078,5.9715643,0.07660124,20.81077,0.30940616,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899190,1899194,48.88501739501953,-19.44974136352539,0.47571796,0.13239749,26.071512,0.3895669,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899195,1899199,48.88492202758789,-19.448841094970703,4.043457,0.24590114,13.838697,0.10688369,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899200,1899204,48.88482666015625,-19.44794273376465,4.5032635,0.24665886,7.5740747,0.13293391,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899205,1899209,48.884735107421875,-19.44704246520996,5.1460543,0.78780246,11.97085,0.5315633,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899210,1899214,48.88463592529297,-19.446142196655273,17.246979,1.3544902,14.216679,0.9323713,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899225,1899229,48.88435745239258,-19.44344139099121,-2.3579822,0.023612306,19.383745,0.15812644,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899235,1899239,48.88417053222656,-19.44164276123047,-4.0768366,0.013538351,,,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899240,1899244,48.88407516479492,-19.44074249267578,-4.116102,0.018412108,,,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899245,1899249,48.88398361206055,-19.439842224121094,-4.0992184,0.011264056,,,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899255,1899259,48.8837890625,-19.43804359436035,1.6020136,0.032949217,27.608074,0.46599263,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899260,1899264,48.88369369506836,-19.437143325805664,2.2199018,0.44728366,30.364748,1.9291077,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899265,1899269,48.883602142333984,-19.436243057250977,0.19547544,,31.623114,,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899270,1899274,48.88351058959961,-19.43534278869629,2.8367043,0.07586476,19.278704,0.39426976,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899275,1899279,48.8834114074707,-19.4344425201416,5.7067547,0.07944182,25.649517,0.49371478,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899280,1899284,48.88331985473633,-19.433542251586914,14.458542,3.8641841,24.775463,3.7332926,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899285,1899289,48.88322448730469,-19.43264389038086,21.271782,,14.751089,,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899290,1899294,48.88313293457031,-19.431743621826172,18.589018,2.4114225,21.251795,3.2496107,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899300,1899304,48.882938385009766,-19.429943084716797,31.666777,,15.509546,,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899305,1899309,48.88284683227539,-19.42904281616211,21.227703,,22.054914,,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899310,1899314,48.882755279541016,-19.428142547607422,13.032879,0.4426042,,,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899315,1899319,48.882659912109375,-19.427244186401367,15.541011,3.8106465,31.38915,5.5998874,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899320,1899324,48.8825569152832,-19.42634391784668,23.164528,,35.27044,,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
1899325,1899329,48.882469177246094,-19.425443649291992,16.316645,3.3384807,26.716911,4.5331693,943,gt3r,processed_ATL08_20200826034643_09430814_004_01.h5
