,segment_id_beg,segment_id_end,longitude,latitude,h_te_best_fit,h_te_uncertainty,h_canopy,h_canopy_uncertainty,track_id,beam,file_name
1,1899104,1899108,48.82236862182617,-19.471271514892575,4.171798,0.051211964,23.092213,0.21231052,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
3,1899119,1899123,48.82208251953125,-19.46857261657715,6.851965,0.07938147,20.755688,0.4378966,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
7,1899149,1899153,48.82150650024414,-19.46317481994629,3.6478372,0.05136905,13.096946,0.22392796,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
8,1899159,1899163,48.8213119506836,-19.461374282836918,1.9531738,0.014679143,11.653021,0.11133932,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
9,1899164,1899168,48.82122039794922,-19.46047592163086,0.8091063,0.002608625,12.24929,0.023028782,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
10,1899169,1899173,48.82112121582031,-19.45957565307617,0.49380606,0.0050559593,13.030435,0.039931677,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
12,1899189,1899193,48.820743560791016,-19.45597648620605,-0.49281904,0.0045289034,16.753548,0.12459337,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
13,1899204,1899208,48.820457458496094,-19.453277587890625,1.7535125,0.048359487,19.742382,0.39638224,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
15,1899214,1899218,48.82026672363281,-19.45147705078125,-2.441502,0.022478996,17.375872,0.10346056,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
16,1899219,1899223,48.82017135620117,-19.45057678222656,-2.5491428,0.007787502,16.244673,0.03398438,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
17,1899224,1899228,48.82007598876953,-19.449678421020508,0.98357403,0.06856967,8.580211,0.13888767,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
18,1899229,1899233,48.81998062133789,-19.44877815246582,6.88051,1.9846319,12.923082,0.5184446,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
19,1899234,1899238,48.81988906860352,-19.447877883911133,-2.4965556,0.02754122,13.244915,0.057771612,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
20,1899239,1899243,48.81979370117188,-19.446977615356445,-19.245451,0.011850939,23.835474,0.015150994,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
23,1899269,1899273,48.8192253112793,-19.441577911376957,-0.06966325,0.051940467,26.718775,1.6064614,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
24,1899274,1899278,48.819129943847656,-19.4406795501709,3.7073793,0.03209858,14.241068,0.13810578,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
25,1899309,1899313,48.81847381591797,-19.43437957763672,30.90455,2.2187908,12.678648,2.7210948,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
28,1899349,1899353,48.81772613525391,-19.42717933654785,8.552021,0.05070303,14.780664,0.13413496,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
29,1899354,1899358,48.81763458251953,-19.426279067993164,6.032755,0.056471333,8.621289,0.10885838,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
31,1899379,1899383,48.81716537475586,-19.42177963256836,3.287372,0.028069628,9.328628,0.072776265,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
32,1899384,1899388,48.81707382202149,-19.420879364013672,4.1925116,0.047685537,15.111628,0.25993904,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
33,1899394,1899398,48.81688690185547,-19.419078826904297,8.851841,1.7575207,15.334622,3.1176267,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
35,1899409,1899413,48.81661224365234,-19.416379928588867,4.4610267,0.039262787,16.631487,0.14893307,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
37,1899424,1899428,48.81633377075195,-19.413679122924805,5.5069733,0.037634473,12.858746,0.12187989,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
38,1899429,1899433,48.81624221801758,-19.41277885437012,7.961085,0.11888858,16.772266,0.30749586,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
